,sum_international,sum_national,year
0,41295989.919999994,107247140.95033334,2555
1,45320140.5855,145283195.0749524,2556
2,47312441.340712115,108320266.9566883,2557
3,50333271.094909094,132648886.61652264,2558
4,44375436.70340909,220412846.53524315,2559
5,42262885.269863635,322205878.3668977,2560
6,39105229.125999995,396698733.38681096,2561
7,44851915.0705,475227231.31520003,2562
8,49983888.95130001,253007259.17829996,2563
9,38527939.8642,426911753.8352,2564
