categories,count
FOOD SCIENCE TECHNOLOGY,1081
PHARMACOLOGY PHARMACY,722
POLYMER SCIENCE,525
PLANT SCIENCES,483
CRYSTALLOGRAPHY,479
CHEMISTRY APPLIED,453
BIOTECHNOLOGY APPLIED MICROBIOLOGY,442
BIOCHEMISTRY MOLECULAR BIOLOGY,411
MATERIALS SCIENCE MULTIDISCIPLINARY,382
CHEMISTRY MEDICINAL,370
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH,366
ENVIRONMENTAL SCIENCES,364
ONCOLOGY,362
MULTIDISCIPLINARY SCIENCES,344
ENGINEERING CHEMICAL,286
CHEMISTRY MULTIDISCIPLINARY,283
MARINE FRESHWATER BIOLOGY,282
INFECTIOUS DISEASES,282
MICROBIOLOGY,271
NUTRITION DIETETICS,261
