year,teacher,research_staff,post_doc,asst_staff
2553,159,0,0,0
2554,200,0,0,0
2555,222,0,0,0
2556,254,1,0,0
2557,259,1,0,0
2558,265,1,0,0
2559,290,2,3,0
2560,356,1,2,0
2561,401,0,0,0
2562,419,0,8,0
2563,92,0,1,0
2564,0,0,0,0
